Marca temporal,¿Eres de nacionalidad venezolana?,maría josé cristina,stes,eumaría del,yatriz,maría de la helevin,olima,gaura,karlos enriquel aleja,rau,marguel,geomalejaneth,maría helyn,ara,flory,corin,yula,manuel alerith,fabiania,geudo,maría hel,yiliferlinyerlea,yumelicia,josé mnlis,josé josé,noela,yenis, maría del alejandrésan,marge,bela,maría coúo,nel,maribella,ales,lio,napatrid,red,marturo,andra,alomoto,maranto,francio,pedro josé jescar,gerson,oer,carolin,aleria angel,ilia,maría josúatías,wilfreddy,pedro dauel,elea,jaco,eumarita,neis,karelys,ofreda,glena,maro,eucarótta,jóaira,óid,napbebeo,joónicela,rolimaría teres,gus,engelice,maría virgin,litua,ira,johnny,maría fernandreana,ara,angelenda,irnara,yggega,lattu,mariel alenessa,maría gabriel anrancio,mar,maría josé enriquel,neita,nubio,hersca,jorca,lydi,alena,jaco,men,georgariel carlos,doohany,blepdyyn,nella,josé jesus,bel,maría heloína,maría virginya,neida,zaniel,ste,alejandrés,wilftuco,georgarin,lulia,yenis,pedro dania,gustefanessa,geritzy,nauel,beth,jealifer,yenira,mar,dalecia,felba,francio,bibibiana,meybeatrid,alejanl,elo,maría alerina,gubio,nataly,ila,alerina,kathe,yaico,coro,vivl gabriana,manuelyn,natalica,alomoto,zayfelis,oarantonior,maro,brancito,axciel alejandl carolimar,miguel alejaneía,juan manuel caro,alep,maría fer,eumhelin,mar,dalejanexlady,yabto,dania,sara,mar,georossa,carmelica,margaria angy,anes,alomoto,oulia,kronatan,zoraly,luisabeth,mer,aleja,josé antonela,oscardo,migua,arely,jorgania,geomalix,maría valenjania,jovangelisset,maría gabriel carmelia,mayudel aleja, valejanda
24/03/2024 22:14:57,Sí,No,No,No,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,"Sí, No",No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,"Sí, No",No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,"Sí, No",No,Sí,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,No,"Sí, No",No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,"Sí, No",Sí,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No
24/03/2024 22:15:41,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,No
24/03/2024 22:17:15,Sí,No,No,No,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,"Sí, No",Sí,No,Sí,Sí,No,Sí,Sí,Sí,"Sí, No",Sí,Sí,Sí,No,"Sí, No",Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí
24/03/2024 22:22:23,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24/03/2024 23:26:00,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No
25/03/2024 7:17:30,Sí,Sí,No,No,No,No,"Sí, No",No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,"Sí, No",Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
25/03/2024 7:44:26,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No
25/03/2024 8:27:44,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,No,No
25/03/2024 8:40:17,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,Sí,No,Sí,No,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No
25/03/2024 9:35:30,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí
