,names, validation
0,maria dolorena,0
1,anmal,0
2,hectoria,0
3,iiei,0
4,alejandrea,0
5,encarnacio,1
6,esinikcamnnclxnarrda,0
7,anmal,0
8,ricaela,1
9,encarnacio,1
10,esinenando,0
11,elen,1
12,carmobep,0
13,calonanvrxdaanyoflaado,0
14,cristin,1
15,juan fria,1
16,encarnacio,1
17,encarnacio,1
18,patriseñcolmlel,0
19,jose angeles,1
20,albafaqin,0
21,mirioueba,0
22,ana inirg,0
23,rosa maria pilar,1
24,patriz,1
25,elen,1
26,maria dolorenartina,0
27,maria ciptoc,0
28,ana isabeltoares,0
29,juanamadl,0
30,iiei,0
31,maria jose ramon,0
32,inmacuicnlercuiql,0
33,maria elen,1
34,natalina,1
35,maria antpanza,0
36,maria dolorena,0
