,names, validation
0,michel,1
1,briela,1
2,frinemrifon,0
3,luz elentina,1
4,pedro dleidy,0
5,kena,0
6,vivia,1
7,pedro d ohdauan pablandres,0
8,iink,0
9,sherle,1
10,maría mery,1
11,emilifernandrea,0
12,michel,1
13,yilifernandrea,0
14,michel,1
15,michel,1 
16,glentinaria fernandrea,0
17,jeksfet,0 
18,michescarlos edósmlii,0
19,xiy,0
20,diegm,0
21,pedro de l,0
22,midf,0
23,maría la edósmlii,0
24,midfegeosgulia,0
25,glentina,1
26,maria eduardo,0
27,angel,1 
28,wilmery,1
29,verónicol,0
30,marianiel valentina,0
31,luzka,1 
32,iine,0
33,ziul,1
34,michel,1
35,norelicia,0
36,mam,0
37,midfedea,0
38,sherle,1
39,oscarlos fia,0
40,mer,0
41,descarlos eduarpofvahgahiela,0
42,angely,1
43,fernandra,1
44,angely,1
45,michel,1
46,neptalicilo s eduardrsgmery,0
47,glen ro,0
48,yumaría fernandrea,1
49,sheriren,1 
50,kena,1
51,glentina,1 
52,glenmmionda,0
53,michel,1
54,briela,1
55,micnnsol,0
56,yenifel,1
57,michel,1
58,fernandrea,1
59,briel,1
60,carlos fernandrea,0
61,fernandrea,1
62,gatgahganchel,0
63,sherle,0
64,sheriret,0
65,ziulia,1
66,michel,1
67,luzka,1
68,glentdrida del valenifernandrea,0
69,marianiela, 1
70,maría victori,0
71,michel,1
72,midfet,0
73,emilifernandrea,0
74,mon,0
75,briel valentina,0
76,maría fernandrea,0
77,blekio,0
78,michel,1
79,luis daviela,1
80,midfet,1
81,sherle,1
82,emilifernandrea,1
83,maría celentina,1
84,michel,1
85,michel,1
86,jenrique josé,0
87,deborelicimrilar del valentin,0
88,pedro d ohdulia,0
89,michel,1
90,emiluis fernandrea,0
91,michel,1
92,michescarlos fernandrea,0
93,gmarianiela,0
94,fernandbftep relicilar del carla,0
95,angel,1
96,je srerle,0
97,luz eleska,1
98,nica,1
99,danielentina,1
100,sherle,1
101,glentina,0
102,marianiel,0
103,micnnsol,0
104,pedro del cinwakgahgarganchescarla,0
105,michel,0
106,mignmbiíyúvmlu shimrilarhomrhimrifon,0
107,rohaniel,1
108,maria del valentina,1
109,verónicol,1
110,briel,1
111,mer,0
112,wilmery,1
113,marianiela,1
114,yosmiria del valentina,1
115,glentina,1
116,michel,1
117,aneisforo,1
118,briel valenssey,1
119,sherlm oonmaoíg harayaa,0
120,iink,0
121,michel,1
122,wilmery,0
123,luis ferlyn,0
124,michel,0
125,jhocca eduardo,1
126,emilifernandrea,0
127,michel,1
128,micígihaorh mrlii,0
129,pedro del valentina,0
130,michel,1
131,maría teres,0
132,maría fernandrea,1
133,midfegeosgulia,0
134,descarla,1
135,briela,1
136,briel valentina,0
137,emilifernandreda,0
138,maría ter loisa,0
139,isip,0
140,michescarlos ferle,0
141,kenrique jose,1
142,maría milifelicimrilar del carla,0
143,nihiblandrea,0
144,deborelizabel,1
145,michel,1
146,michel,1
147,maría fernandrea,1
148,maría valen rar,0
149,je srerle,0
150,michel,1
151,luis fernandrea,0
152,michel,0
153,isip,0
154,mixamedia fernandrea,0
155,ros,0
156,elicia,1
157,michel,1
158,michel,1
159,isip,0
160,briela,1
